"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"666","December 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1418.00","1000 Metric Tons, Actual Weight","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2024/25","Est.","Annual","4210.00","1000 Metric Tons, Actual Weight","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1123.00","1000 Metric Tons, Actual Weight","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2024/25","Est.","Annual","1023.00","1000 Metric Tons, Actual Weight","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2024/25","Est.","Annual","167.00","1000 Metric Tons, Actual Weight","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2024/25","Est.","Annual","4771.00","1000 Metric Tons, Actual Weight","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1123.00","1000 Metric Tons, Actual Weight","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2025/26","Proj.","Annual","4472.00","1000 Metric Tons, Actual Weight","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1087.00","1000 Metric Tons, Actual Weight","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2025/26","Proj.","Annual","800.00","1000 Metric Tons, Actual Weight","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2025/26","Proj.","Annual","142.00","1000 Metric Tons, Actual Weight","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2025/26","Proj.","Annual","5094.00","1000 Metric Tons, Actual Weight","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","17.00","Years","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","9.70","Million Metric Tons","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","27.00","Years","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","2.40","Percent","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","36.90","Million Metric Tons","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","1.50","Percent","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".10","Million Metric Tons","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","8.00","Years","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","12.80","Million Metric Tons","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","36.00","Years","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","23.00","Percent","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","143.90","Million Metric Tons","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","13.70","Percent","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".10","Million Metric Tons","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","16.00","Years","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Exports","average","Coarse Grain","Foreign","","","Annual","7.00","Million Metric Tons","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Exports","below_final","Coarse Grain","Foreign","","","Annual","27.00","Years","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Exports","confidence_interval","Coarse Grain","Foreign","","","Annual","19.00","Percent","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Exports","largest","Coarse Grain","Foreign","","","Annual","27.10","Million Metric Tons","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Exports","root_mean_square_error","Coarse Grain","Foreign","","","Annual","11.30","Percent","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Exports","smallest","Coarse Grain","Foreign","","","Annual",".00","Million Metric Tons","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Production","above_final","Coarse Grain","Foreign","","","Annual","12.00","Years","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Production","average","Coarse Grain","Foreign","","","Annual","11.90","Million Metric Tons","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Production","below_final","Coarse Grain","Foreign","","","Annual","32.00","Years","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Production","confidence_interval","Coarse Grain","Foreign","","","Annual","3.30","Percent","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Production","largest","Coarse Grain","Foreign","","","Annual","37.50","Million Metric Tons","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Production","root_mean_square_error","Coarse Grain","Foreign","","","Annual","2.00","Percent","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Production","smallest","Coarse Grain","Foreign","","","Annual",".00","Million Metric Tons","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Domestic Use","above_final","Cotton","Foreign","","","Annual","20.00","Years","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Domestic Use","average","Cotton","Foreign","","","Annual","2.60","Million 480-Pounds Bales","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Domestic Use","below_final","Cotton","Foreign","","","Annual","24.00","Years","2025-12-09","12:00:00.0000000","2025","12"
"666","December 2025","Reliability of December Projections","Domestic Use","confidence_interval","Cotton","Foreign","","","Annual","6.70","Percent","2025-12-09","12:00:00.0000000","2025","12"
