"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"657","February 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2023/24","Est.","Annual","835.00","1000 Metric Tons, Actual Weight","2025-02-11","12:00:00.0000000","2025","2"
"657","February 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2023/24","Est.","Annual","4436.00","1000 Metric Tons, Actual Weight","2025-02-11","12:00:00.0000000","2025","2"
"657","February 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2023/24","Est.","Annual","1418.00","1000 Metric Tons, Actual Weight","2025-02-11","12:00:00.0000000","2025","2"
"657","February 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2023/24","Est.","Annual","446.00","1000 Metric Tons, Actual Weight","2025-02-11","12:00:00.0000000","2025","2"
"657","February 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2023/24","Est.","Annual","761.00","1000 Metric Tons, Actual Weight","2025-02-11","12:00:00.0000000","2025","2"
"657","February 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2023/24","Est.","Annual","4704.00","1000 Metric Tons, Actual Weight","2025-02-11","12:00:00.0000000","2025","2"
"657","February 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2024/25","Proj.","Annual","1418.00","1000 Metric Tons, Actual Weight","2025-02-11","12:00:00.0000000","2025","2"
"657","February 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2024/25","Proj.","Annual","4583.00","1000 Metric Tons, Actual Weight","2025-02-11","12:00:00.0000000","2025","2"
"657","February 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2024/25","Proj.","Annual","962.00","1000 Metric Tons, Actual Weight","2025-02-11","12:00:00.0000000","2025","2"
"657","February 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2024/25","Proj.","Annual","857.00","1000 Metric Tons, Actual Weight","2025-02-11","12:00:00.0000000","2025","2"
"657","February 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2024/25","Proj.","Annual","125.00","1000 Metric Tons, Actual Weight","2025-02-11","12:00:00.0000000","2025","2"
"657","February 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2024/25","Proj.","Annual","4859.00","1000 Metric Tons, Actual Weight","2025-02-11","12:00:00.0000000","2025","2"
"657","February 2025","Reliability of February Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","17.00","Years","2025-02-11","12:00:00.0000000","2025","2"
"657","February 2025","Reliability of February Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","7.70","Million Metric Tons","2025-02-11","12:00:00.0000000","2025","2"
