"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"638","July 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2022/23","Est.","Annual","964.00","1000 Metric Tons, Actual Weight","2023-07-12","12:00:00.0000000","2023","7"
"638","July 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2022/23","Est.","Annual","4357.00","1000 Metric Tons, Actual Weight","2023-07-12","12:00:00.0000000","2023","7"
"638","July 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2022/23","Est.","Annual","880.00","1000 Metric Tons, Actual Weight","2023-07-12","12:00:00.0000000","2023","7"
"638","July 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2022/23","Est.","Annual","1027.00","1000 Metric Tons, Actual Weight","2023-07-12","12:00:00.0000000","2023","7"
"638","July 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2022/23","Est.","Annual","75.00","1000 Metric Tons, Actual Weight","2023-07-12","12:00:00.0000000","2023","7"
"638","July 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2022/23","Est.","Annual","5224.00","1000 Metric Tons, Actual Weight","2023-07-12","12:00:00.0000000","2023","7"
"638","July 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2023/24","Proj.","Annual","880.00","1000 Metric Tons, Actual Weight","2023-07-12","12:00:00.0000000","2023","7"
"638","July 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2023/24","Proj.","Annual","4589.00","1000 Metric Tons, Actual Weight","2023-07-12","12:00:00.0000000","2023","7"
"638","July 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2023/24","Proj.","Annual","888.00","1000 Metric Tons, Actual Weight","2023-07-12","12:00:00.0000000","2023","7"
"638","July 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2023/24","Proj.","Annual","1348.00","1000 Metric Tons, Actual Weight","2023-07-12","12:00:00.0000000","2023","7"
"638","July 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2023/24","Proj.","Annual","45.00","1000 Metric Tons, Actual Weight","2023-07-12","12:00:00.0000000","2023","7"
