"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"667","January 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1418.00","1000 Metric Tons, Actual Weight","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2024/25","Est.","Annual","4210.00","1000 Metric Tons, Actual Weight","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1123.00","1000 Metric Tons, Actual Weight","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2024/25","Est.","Annual","1023.00","1000 Metric Tons, Actual Weight","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2024/25","Est.","Annual","167.00","1000 Metric Tons, Actual Weight","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2024/25","Est.","Annual","4771.00","1000 Metric Tons, Actual Weight","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1123.00","1000 Metric Tons, Actual Weight","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2025/26","Proj.","Annual","4320.00","1000 Metric Tons, Actual Weight","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1122.00","1000 Metric Tons, Actual Weight","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2025/26","Proj.","Annual","803.00","1000 Metric Tons, Actual Weight","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2025/26","Proj.","Annual","75.00","1000 Metric Tons, Actual Weight","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2025/26","Proj.","Annual","5047.00","1000 Metric Tons, Actual Weight","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","15.00","Years","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","8.60","Million Metric Tons","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","28.00","Years","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","2.30","Percent","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","36.20","Million Metric Tons","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","1.30","Percent","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".10","Million Metric Tons","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","7.00","Years","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","12.30","Million Metric Tons","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","36.00","Years","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","22.40","Percent","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","143.40","Million Metric Tons","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","13.30","Percent","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".10","Million Metric Tons","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","16.00","Years","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Exports","average","Coarse Grain","Foreign","","","Annual","6.20","Million Metric Tons","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Exports","below_final","Coarse Grain","Foreign","","","Annual","27.00","Years","2026-01-12","12:00:00.0000000","2026","1"
"667","January 2026","Reliability of January Projections","Exports","confidence_interval","Coarse Grain","Foreign","","","Annual","17.60","Percent","2026-01-12","12:00:00.0000000","2026","1"
