"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"656","January 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2023/24","Est.","Annual","835.00","1000 Metric Tons, Actual Weight","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2023/24","Est.","Annual","4436.00","1000 Metric Tons, Actual Weight","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2023/24","Est.","Annual","1418.00","1000 Metric Tons, Actual Weight","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2023/24","Est.","Annual","446.00","1000 Metric Tons, Actual Weight","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2023/24","Est.","Annual","761.00","1000 Metric Tons, Actual Weight","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2023/24","Est.","Annual","4704.00","1000 Metric Tons, Actual Weight","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2024/25","Proj.","Annual","1418.00","1000 Metric Tons, Actual Weight","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2024/25","Proj.","Annual","4630.00","1000 Metric Tons, Actual Weight","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2024/25","Proj.","Annual","972.00","1000 Metric Tons, Actual Weight","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2024/25","Proj.","Annual","1015.00","1000 Metric Tons, Actual Weight","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2024/25","Proj.","Annual","105.00","1000 Metric Tons, Actual Weight","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2024/25","Proj.","Annual","5094.00","1000 Metric Tons, Actual Weight","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","15.00","Years","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","8.30","Million Metric Tons","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","27.00","Years","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","2.20","Percent","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","36.20","Million Metric Tons","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","1.30","Percent","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".10","Million Metric Tons","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","7.00","Years","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","12.60","Million Metric Tons","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","35.00","Years","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","22.70","Percent","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","143.40","Million Metric Tons","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","13.50","Percent","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".10","Million Metric Tons","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","15.00","Years","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Exports","average","Coarse Grain","Foreign","","","Annual","6.20","Million Metric Tons","2025-01-10","12:00:00.0000000","2025","1"
"656","January 2025","Reliability of January Projections","Exports","below_final","Coarse Grain","Foreign","","","Annual","27.00","Years","2025-01-10","12:00:00.0000000","2025","1"
