"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"634","March 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2021/22","Est.","Annual","1053.00","1000 Metric Tons, Actual Weight","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2021/22","Est.","Annual","4629.00","1000 Metric Tons, Actual Weight","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2021/22","Est.","Annual","964.00","1000 Metric Tons, Actual Weight","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2021/22","Est.","Annual","1676.00","1000 Metric Tons, Actual Weight","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2021/22","Est.","Annual","31.00","1000 Metric Tons, Actual Weight","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2021/22","Est.","Annual","6185.00","1000 Metric Tons, Actual Weight","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2022/23","Proj.","Annual","964.00","1000 Metric Tons, Actual Weight","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2022/23","Proj.","Annual","4438.00","1000 Metric Tons, Actual Weight","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2022/23","Proj.","Annual","925.00","1000 Metric Tons, Actual Weight","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2022/23","Proj.","Annual","1121.00","1000 Metric Tons, Actual Weight","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2022/23","Proj.","Annual","35.00","1000 Metric Tons, Actual Weight","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2022/23","Proj.","Annual","5485.00","1000 Metric Tons, Actual Weight","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","14.00","Years","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","7.10","Million Metric Tons","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","27.00","Years","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","1.90","Percent","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","24.60","Million Metric Tons","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","1.10","Percent","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".40","Million Metric Tons","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","4.00","Years","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","11.50","Million Metric Tons","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","37.00","Years","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","21.00","Percent","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","142.10","Million Metric Tons","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","12.50","Percent","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".50","Million Metric Tons","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","14.00","Years","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Exports","average","Coarse Grain","Foreign","","","Annual","5.10","Million Metric Tons","2023-03-08","12:00:00.0000000","2023","3"
"634","March 2023","Reliability of March Projections","Exports","below_final","Coarse Grain","Foreign","","","Annual","27.00","Years","2023-03-08","12:00:00.0000000","2023","3"
