"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"654","November 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2023/24","Est.","Annual","835.00","1000 Metric Tons, Actual Weight","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2023/24","Est.","Annual","4436.00","1000 Metric Tons, Actual Weight","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2023/24","Est.","Annual","1418.00","1000 Metric Tons, Actual Weight","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2023/24","Est.","Annual","446.00","1000 Metric Tons, Actual Weight","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2023/24","Est.","Annual","761.00","1000 Metric Tons, Actual Weight","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2023/24","Est.","Annual","4704.00","1000 Metric Tons, Actual Weight","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2024/25","Proj.","Annual","1418.00","1000 Metric Tons, Actual Weight","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2024/25","Proj.","Annual","4630.00","1000 Metric Tons, Actual Weight","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2024/25","Proj.","Annual","972.00","1000 Metric Tons, Actual Weight","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2024/25","Proj.","Annual","1006.00","1000 Metric Tons, Actual Weight","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2024/25","Proj.","Annual","96.00","1000 Metric Tons, Actual Weight","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2024/25","Proj.","Annual","5094.00","1000 Metric Tons, Actual Weight","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Reliability of November Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","16.00","Years","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Reliability of November Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","9.50","Million Metric Tons","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Reliability of November Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","27.00","Years","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Reliability of November Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","2.60","Percent","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Reliability of November Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","42.20","Million Metric Tons","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Reliability of November Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","1.50","Percent","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Reliability of November Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".20","Million Metric Tons","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Reliability of November Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","5.00","Years","2024-11-08","12:00:00.0000000","2024","11"
"654","November 2024","Reliability of November Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","10.70","Million Metric Tons","2024-11-08","12:00:00.0000000","2024","11"
