"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1418.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2024/25","Est.","Annual","4210.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1123.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2024/25","Est.","Annual","1023.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2024/25","Est.","Annual","167.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2024/25","Est.","Annual","4771.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1123.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2025/26","Proj.","Annual","4514.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1077.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2025/26","Proj.","Annual","649.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2025/26","Proj.","Annual","98.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2025/26","Proj.","Annual","5019.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","16.00","Years","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","10.00","Million Metric Tons","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","28.00","Years","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","2.60","Percent","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","42.20","Million Metric Tons","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","1.50","Percent","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".20","Million Metric Tons","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","6.00","Years","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","10.50","Million Metric Tons","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","38.00","Years","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","25.50","Percent","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","31.10","Million Metric Tons","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","15.10","Percent","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".20","Million Metric Tons","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","15.00","Years","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Exports","average","Coarse Grain","Foreign","","","Annual","6.90","Million Metric Tons","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Exports","below_final","Coarse Grain","Foreign","","","Annual","29.00","Years","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Exports","confidence_interval","Coarse Grain","Foreign","","","Annual","19.60","Percent","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Exports","largest","Coarse Grain","Foreign","","","Annual","23.50","Million Metric Tons","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Exports","root_mean_square_error","Coarse Grain","Foreign","","","Annual","11.60","Percent","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Reliability of November Projections","Exports","smallest","Coarse Grain","Foreign","","","Annual",".30","Million Metric Tons","2025-11-14","12:00:00.0000000","2025","11"
