"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"651","August 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2023/24","Est.","Annual","835.00","1000 Metric Tons, Actual Weight","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2023/24","Est.","Annual","4540.00","1000 Metric Tons, Actual Weight","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2023/24","Est.","Annual","1355.00","1000 Metric Tons, Actual Weight","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2023/24","Est.","Annual","441.00","1000 Metric Tons, Actual Weight","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2023/24","Est.","Annual","797.00","1000 Metric Tons, Actual Weight","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2023/24","Est.","Annual","4704.00","1000 Metric Tons, Actual Weight","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2024/25","Proj.","Annual","1355.00","1000 Metric Tons, Actual Weight","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2024/25","Proj.","Annual","4653.00","1000 Metric Tons, Actual Weight","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2024/25","Proj.","Annual","977.00","1000 Metric Tons, Actual Weight","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2024/25","Proj.","Annual","845.00","1000 Metric Tons, Actual Weight","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2024/25","Proj.","Annual","25.00","1000 Metric Tons, Actual Weight","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2024/25","Proj.","Annual","5094.00","1000 Metric Tons, Actual Weight","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","16.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","11.20","Million Metric Tons","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","27.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","3.00","Percent","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","39.20","Million Metric Tons","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","1.80","Percent","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual","1.10","Million Metric Tons","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","9.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","15.10","Million Metric Tons","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","34.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","27.30","Percent","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","154.80","Million Metric Tons","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","16.20","Percent","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".20","Million Metric Tons","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","14.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Exports","average","Coarse Grain","Foreign","","","Annual","7.60","Million Metric Tons","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Exports","below_final","Coarse Grain","Foreign","","","Annual","29.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Exports","confidence_interval","Coarse Grain","Foreign","","","Annual","22.80","Percent","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Exports","largest","Coarse Grain","Foreign","","","Annual","19.90","Million Metric Tons","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Exports","root_mean_square_error","Coarse Grain","Foreign","","","Annual","13.60","Percent","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Exports","smallest","Coarse Grain","Foreign","","","Annual","1.40","Million Metric Tons","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Production","above_final","Coarse Grain","Foreign","","","Annual","15.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Production","average","Coarse Grain","Foreign","","","Annual","14.30","Million Metric Tons","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Production","below_final","Coarse Grain","Foreign","","","Annual","28.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Production","confidence_interval","Coarse Grain","Foreign","","","Annual","4.10","Percent","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Production","largest","Coarse Grain","Foreign","","","Annual","58.40","Million Metric Tons","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Production","root_mean_square_error","Coarse Grain","Foreign","","","Annual","2.40","Percent","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Production","smallest","Coarse Grain","Foreign","","","Annual",".70","Million Metric Tons","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Domestic Use","above_final","Cotton","Foreign","","","Annual","26.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Domestic Use","average","Cotton","Foreign","","","Annual","3.60","Million 480-Pounds Bales","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Domestic Use","below_final","Cotton","Foreign","","","Annual","17.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Domestic Use","confidence_interval","Cotton","Foreign","","","Annual","8.70","Percent","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Domestic Use","largest","Cotton","Foreign","","","Annual","20.10","Million 480-Pounds Bales","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Domestic Use","root_mean_square_error","Cotton","Foreign","","","Annual","5.20","Percent","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Domestic Use","smallest","Cotton","Foreign","","","Annual",".30","Million 480-Pounds Bales","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Ending Stocks","above_final","Cotton","Foreign","","","Annual","13.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Ending Stocks","average","Cotton","Foreign","","","Annual","5.50","Million 480-Pounds Bales","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Ending Stocks","below_final","Cotton","Foreign","","","Annual","30.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Ending Stocks","confidence_interval","Cotton","Foreign","","","Annual","25.10","Percent","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Ending Stocks","largest","Cotton","Foreign","","","Annual","18.60","Million 480-Pounds Bales","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Ending Stocks","root_mean_square_error","Cotton","Foreign","","","Annual","14.90","Percent","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Ending Stocks","smallest","Cotton","Foreign","","","Annual",".10","Million 480-Pounds Bales","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Exports","above_final","Cotton","Foreign","","","Annual","21.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Exports","average","Cotton","Foreign","","","Annual","2.00","Million 480-Pounds Bales","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Exports","below_final","Cotton","Foreign","","","Annual","22.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Exports","confidence_interval","Cotton","Foreign","","","Annual","22.00","Percent","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Exports","largest","Cotton","Foreign","","","Annual","8.50","Million 480-Pounds Bales","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Exports","root_mean_square_error","Cotton","Foreign","","","Annual","13.10","Percent","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Exports","smallest","Cotton","Foreign","","","Annual",".10","Million 480-Pounds Bales","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Production","above_final","Cotton","Foreign","","","Annual","20.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Production","average","Cotton","Foreign","","","Annual","2.90","Million 480-Pounds Bales","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Production","below_final","Cotton","Foreign","","","Annual","22.00","Years","2024-08-12","12:00:00.0000000","2024","8"
"651","August 2024","Reliability of August Projections","Production","confidence_interval","Cotton","Foreign","","","Annual","8.70","Percent","2024-08-12","12:00:00.0000000","2024","8"
