"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"664","September 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1418.00","1000 Metric Tons, Actual Weight","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2024/25","Est.","Annual","4459.00","1000 Metric Tons, Actual Weight","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1026.00","1000 Metric Tons, Actual Weight","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2024/25","Est.","Annual","879.00","1000 Metric Tons, Actual Weight","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2024/25","Est.","Annual","175.00","1000 Metric Tons, Actual Weight","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2024/25","Est.","Annual","4771.00","1000 Metric Tons, Actual Weight","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1026.00","1000 Metric Tons, Actual Weight","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2025/26","Proj.","Annual","4569.00","1000 Metric Tons, Actual Weight","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1081.00","1000 Metric Tons, Actual Weight","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2025/26","Proj.","Annual","612.00","1000 Metric Tons, Actual Weight","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2025/26","Proj.","Annual","142.00","1000 Metric Tons, Actual Weight","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2025/26","Proj.","Annual","5094.00","1000 Metric Tons, Actual Weight","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","16.00","Years","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","11.20","Million Metric Tons","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","28.00","Years","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","3.00","Percent","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","37.80","Million Metric Tons","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","1.80","Percent","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".40","Million Metric Tons","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","9.00","Years","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","14.60","Million Metric Tons","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","35.00","Years","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","26.10","Percent","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","155.30","Million Metric Tons","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","15.50","Percent","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".70","Million Metric Tons","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","15.00","Years","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Exports","average","Coarse Grain","Foreign","","","Annual","7.80","Million Metric Tons","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Exports","below_final","Coarse Grain","Foreign","","","Annual","29.00","Years","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Exports","confidence_interval","Coarse Grain","Foreign","","","Annual","21.80","Percent","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Exports","largest","Coarse Grain","Foreign","","","Annual","20.90","Million Metric Tons","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Exports","root_mean_square_error","Coarse Grain","Foreign","","","Annual","12.90","Percent","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Exports","smallest","Coarse Grain","Foreign","","","Annual",".70","Million Metric Tons","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Production","above_final","Coarse Grain","Foreign","","","Annual","13.00","Years","2025-09-12","12:00:00.0000000","2025","9"
"664","September 2025","Reliability of September Projections","Production","average","Coarse Grain","Foreign","","","Annual","15.20","Million Metric Tons","2025-09-12","12:00:00.0000000","2025","9"
