"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"649","June 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2023/24","Est.","Annual","835.00","1000 Metric Tons, Actual Weight","2024-06-12","12:00:00.0000000","2024","6"
"649","June 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2023/24","Est.","Annual","4618.00","1000 Metric Tons, Actual Weight","2024-06-12","12:00:00.0000000","2024","6"
"649","June 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2023/24","Est.","Annual","1132.00","1000 Metric Tons, Actual Weight","2024-06-12","12:00:00.0000000","2024","6"
"649","June 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2023/24","Est.","Annual","399.00","1000 Metric Tons, Actual Weight","2024-06-12","12:00:00.0000000","2024","6"
"649","June 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2023/24","Est.","Annual","596.00","1000 Metric Tons, Actual Weight","2024-06-12","12:00:00.0000000","2024","6"
"649","June 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2023/24","Est.","Annual","4718.00","1000 Metric Tons, Actual Weight","2024-06-12","12:00:00.0000000","2024","6"
"649","June 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2024/25","Proj.","Annual","1132.00","1000 Metric Tons, Actual Weight","2024-06-12","12:00:00.0000000","2024","6"
"649","June 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2024/25","Proj.","Annual","4661.00","1000 Metric Tons, Actual Weight","2024-06-12","12:00:00.0000000","2024","6"
"649","June 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2024/25","Proj.","Annual","978.00","1000 Metric Tons, Actual Weight","2024-06-12","12:00:00.0000000","2024","6"
"649","June 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2024/25","Proj.","Annual","1024.00","1000 Metric Tons, Actual Weight","2024-06-12","12:00:00.0000000","2024","6"
