"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"637","June 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2022/23","Est.","Annual","964.00","1000 Metric Tons, Actual Weight","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2022/23","Est.","Annual","4357.00","1000 Metric Tons, Actual Weight","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2022/23","Est.","Annual","880.00","1000 Metric Tons, Actual Weight","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2022/23","Est.","Annual","1002.00","1000 Metric Tons, Actual Weight","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2022/23","Est.","Annual","45.00","1000 Metric Tons, Actual Weight","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2022/23","Est.","Annual","5230.00","1000 Metric Tons, Actual Weight","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2023/24","Proj.","Annual","880.00","1000 Metric Tons, Actual Weight","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2023/24","Proj.","Annual","4589.00","1000 Metric Tons, Actual Weight","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2023/24","Proj.","Annual","887.00","1000 Metric Tons, Actual Weight","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2023/24","Proj.","Annual","1348.00","1000 Metric Tons, Actual Weight","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2023/24","Proj.","Annual","45.00","1000 Metric Tons, Actual Weight","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2023/24","Proj.","Annual","5900.00","1000 Metric Tons, Actual Weight","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","21.00","Years","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","12.10","Million Metric Tons","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","20.00","Years","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","3.40","Percent","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","38.20","Million Metric Tons","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","2.00","Percent","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".10","Million Metric Tons","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","11.00","Years","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","15.70","Million Metric Tons","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","30.00","Years","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","28.70","Percent","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","155.20","Million Metric Tons","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","17.00","Percent","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".10","Million Metric Tons","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","14.00","Years","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Exports","average","Coarse Grain","Foreign","","","Annual","6.90","Million Metric Tons","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Exports","below_final","Coarse Grain","Foreign","","","Annual","27.00","Years","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Exports","confidence_interval","Coarse Grain","Foreign","","","Annual","22.30","Percent","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Exports","largest","Coarse Grain","Foreign","","","Annual","19.20","Million Metric Tons","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Exports","root_mean_square_error","Coarse Grain","Foreign","","","Annual","13.30","Percent","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Exports","smallest","Coarse Grain","Foreign","","","Annual",".50","Million Metric Tons","2023-06-09","12:00:00.0000000","2023","6"
"637","June 2023","Reliability of June Projections","Production","above_final","Coarse Grain","Foreign","","","Annual","20.00","Years","2023-06-09","12:00:00.0000000","2023","6"
