"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"669","March 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1418.00","1000 Metric Tons, Actual Weight","2026-03-10","12:00:00.0000000","2026","3"
"669","March 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2024/25","Est.","Annual","4210.00","1000 Metric Tons, Actual Weight","2026-03-10","12:00:00.0000000","2026","3"
"669","March 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1123.00","1000 Metric Tons, Actual Weight","2026-03-10","12:00:00.0000000","2026","3"
"669","March 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2024/25","Est.","Annual","1023.00","1000 Metric Tons, Actual Weight","2026-03-10","12:00:00.0000000","2026","3"
"669","March 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2024/25","Est.","Annual","167.00","1000 Metric Tons, Actual Weight","2026-03-10","12:00:00.0000000","2026","3"
"669","March 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2024/25","Est.","Annual","4771.00","1000 Metric Tons, Actual Weight","2026-03-10","12:00:00.0000000","2026","3"
"669","March 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1123.00","1000 Metric Tons, Actual Weight","2026-03-10","12:00:00.0000000","2026","3"
"669","March 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2025/26","Proj.","Annual","4297.00","1000 Metric Tons, Actual Weight","2026-03-10","12:00:00.0000000","2026","3"
"669","March 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1068.00","1000 Metric Tons, Actual Weight","2026-03-10","12:00:00.0000000","2026","3"
"669","March 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2025/26","Proj.","Annual","834.00","1000 Metric Tons, Actual Weight","2026-03-10","12:00:00.0000000","2026","3"
"669","March 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2025/26","Proj.","Annual","52.00","1000 Metric Tons, Actual Weight","2026-03-10","12:00:00.0000000","2026","3"
"669","March 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2025/26","Proj.","Annual","5024.00","1000 Metric Tons, Actual Weight","2026-03-10","12:00:00.0000000","2026","3"
"669","March 2026","Reliability of March Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","15.00","Years","2026-03-10","12:00:00.0000000","2026","3"
